Name,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Skor Pieces,28,160,9,5,0.1,10,105,18,0,17,1
Smarties Pieces,28,130,4,2.5,0,2,20,23,0,21,1
Strawberry Topping,28,35,0,0,0,0,10,9,0,9,0.1
Whipped Topping,14,45,3.5,3,0.1,0,5,3,0,2,0
Shake Caramel (Small),373,570,19,13,1,65,300,89,0,74,13
Shake Caramel (Medium),480,780,23,16,1,95,430,126,0,104,16
Shake Caramel (Large),629,1010,28,19,1,125,590,168,0,137,22
Shake Cherry (Small),373,520,18,13,1,55,230,77,0,67,12
Shake Cherry (Medium),480,660,21,15,1,65,290,103,0,89,15
Shake Cherry (Large),629,840,26,18,1,85,380,133,0,116,20
Shake Chocolate (Small),373,550,18,13,1,55,250,86,0.5,74,13
